x[0] 		x[1] 		x[2] 		 Norma
1.000000 	1.000000 	0.000000
4.208041 	2.112627 	0.000000 	4.491191
3.491786 	2.328455 	0.000000 	2.134602
2.985988 	2.700688 	0.000000 	1.185088
2.637342 	3.072079 	0.000000 	0.428259
2.282854 	3.455345 	0.000000 	0.870395
2.563146 	3.221612 	0.000000 	0.449816
2.220677 	3.556382 	0.000000 	0.794203
2.508963 	3.262582 	0.000000 	0.799951
2.084024 	3.704326 	0.000000 	1.061062
2.264917 	3.573196 	0.000000 	0.409405
3.042515 	2.579270 	0.000000 	1.409980
2.929596 	2.947933 	0.000000 	1.167609
2.593169 	3.160394 	0.000000 	0.748481
2.236293 	3.523321 	0.000000 	0.837961
2.499337 	3.283252 	0.000000 	0.623189
2.079364 	3.716559 	0.000000 	1.053632
2.269862 	3.563623 	0.000000 	0.533748
3.069284 	2.552277 	0.000000 	1.384580
2.988490 	2.924827 	0.000000 	1.245417
2.646300 	3.113847 	0.000000 	0.886983
2.311631 	3.440542 	0.000000 	0.694280
2.794647 	2.955266 	0.000000 	0.798326
2.449405 	3.277290 	0.000000 	0.443360
1.287380 	4.508257 	0.000000 	2.289435
4.004601 	-7.563111 	0.000000 	7.159312
4.262700 	-6.305034 	0.000000 	3.913235
13.083665 	3.515578 	0.000000 	11.207922
11.971155 	3.403378 	0.000000 	5.352573
10.999315 	3.431404 	0.000000 	4.704473
10.440473 	3.873011 	0.000000 	2.959015
9.525485 	3.958200 	0.000000 	4.195412
9.021941 	4.458427 	0.000000 	2.264780
8.160737 	4.603961 	0.000000 	3.671363
7.713563 	5.195111 	0.000000 	1.142739
6.872140 	5.436275 	0.000000 	3.115900
6.300632 	6.330021 	0.000000 	1.728506
4.662945 	7.519346 	0.000000 	1.217992
14.186068 	-8.115967 	0.000000 	13.741537
10.233172 	-11.068863 	0.000000 	6.314738
18.100685 	-2.201350 	0.000000 	10.258811
16.427150 	-2.874885 	0.000000 	7.373229
14.953637 	-3.348398 	0.000000 	6.579757
13.954963 	-3.347072 	0.000000 	5.373931
12.259590 	-4.042445 	0.000000 	6.269368
11.163218 	-4.138818 	0.000000 	4.989155
8.723613 	-5.578424 	0.000000 	5.875969
-4.174854 	-17.476871 	0.000000 	14.685033
-4.096201 	-16.398226 	0.000000 	6.098340
-3.684869 	-14.986948 	0.000000 	6.891575
-4.905027 	-15.206875 	0.000000 	4.137808
-5.465384 	-14.767054 	0.000000 	2.715143
-6.130592 	-14.431608 	0.000000 	1.442513
-6.603660 	-13.904895 	0.000000 	2.983461
-6.654375 	-12.958576 	0.000000 	4.974841
-5.653067 	-11.004443 	0.000000 	7.690934
-6.276474 	-10.611171 	0.000000 	1.031436
-6.363656 	-9.743729 	0.000000 	4.068749
-7.174721 	-9.390203 	0.000000 	2.053334
-5.220075 	-8.846467 	0.000000 	5.843233
-5.383264 	-7.956165 	0.000000 	3.637180
-6.739095 	-7.645466 	0.000000 	3.404183
-6.545984 	-8.830630 	0.000000 	4.118421
-7.147182 	-9.059336 	0.000000 	3.510532
-7.563737 	-7.716722 	0.000000 	4.049180
-10.508213 	-3.737920 	0.000000 	2.763452
2.948362 	-8.525863 	0.000000 	6.558309
3.057179 	-7.417035 	0.000000 	4.126067
4.147977 	-5.326229 	0.000000 	4.334089
8.864407 	0.390136 	0.000000 	5.758080
7.616266 	0.141621 	0.000000 	4.549983
6.954541 	0.478927 	0.000000 	3.071247
5.762234 	0.284550 	0.000000 	3.912888
4.366830 	-0.100242 	0.000000 	3.768960
3.635872 	0.185630 	0.000000 	2.413552
2.474326 	0.062050 	0.000000 	2.669810
0.763970 	-0.537949 	0.000000 	2.291964
17.020727 	17.516718 	0.000000 	24.406301
16.094324 	18.208931 	0.000000 	2.438878
41.488726 	-11.007522 	0.000000 	35.382022
39.744350 	-11.751898 	0.000000 	11.169577
37.884115 	-12.612133 	0.000000 	11.110733
36.621807 	-12.874441 	0.000000 	9.346875
35.325687 	-13.170561 	0.000000 	9.248792
33.998934 	-13.497314 	0.000000 	9.124848
32.616514 	-13.879734 	0.000000 	9.034433
31.187553 	-14.308695 	0.000000 	8.892794
29.657941 	-14.838307 	0.000000 	8.810982
28.028786 	-15.467462 	0.000000 	8.655263
26.196576 	-16.299672 	0.000000 	8.539047
24.039446 	-17.456802 	0.000000 	8.324963
22.800494 	-17.695754 	0.000000 	7.045045
23.503128 	-15.993120 	0.000000 	4.982502
21.521155 	-16.975093 	0.000000 	7.540757
18.726238 	-18.770010 	0.000000 	6.951880
342.153147 	305.656899 	0.000000 	458.030491
341.593218 	306.096970 	0.000000 	10.659895
341.039280 	306.543032 	0.000000 	10.240169
340.494175 	306.997927 	0.000000 	9.613028
339.943793 	307.447545 	0.000000 	9.911392
339.435406 	307.x[0] 		x[1] 		x[2] 		 Norma
2.000000 	2.000000 	0.000000
1.968683 	1.478906 	0.000000 	1.391807
1.830080 	1.709024 	0.000000 	0.455064
1.775557 	1.768412 	0.000000 	0.099644
1.772465 	1.772439 	0.000000 	0.057342
1.772454 	1.772454 	0.000000 	0.003587
1.772454 	1.772454 	0.000000 	0.000014
1.772454 	1.772454 	0.000000 	0.000000
