x[0] 		x[1] 		x[2] 		 Norma
0.000000 	0.000000 	0.000000
0.070797 	0.119810 	0.530433 	0.548385
0.222685 	0.334697 	0.831631 	0.743299
0.556729 	0.731022 	0.672869 	0.666237
0.699624 	0.837988 	0.857305 	0.793459
0.955555 	1.025807 	0.767166 	0.791984
1.082915 	1.061468 	0.903347 	0.749364
1.251728 	1.129753 	0.819637 	0.632072
1.340562 	1.125451 	0.905755 	0.607593
1.547654 	1.151467 	0.834002 	0.729746
1.601708 	1.124995 	0.906062 	0.485144
1.878923 	1.075332 	0.832000 	0.852574
1.905073 	1.047991 	0.885742 	0.364980
2.338704 	0.778115 	0.962359 	1.220251
2.357081 	0.774910 	0.900163 	0.185814
2.388950 	0.758490 	0.863946 	0.249365
2.468780 	0.697909 	0.905105 	0.610225
2.487611 	0.689364 	0.874833 	0.166123
2.829700 	0.466265 	0.825549 	1.215471
2.835047 	0.457987 	0.857899 	0.277664
2.847496 	0.445115 	0.876358 	0.301880
2.892722 	0.409447 	0.854547 	0.437465
2.900348 	0.402454 	0.870146 	0.255733
3.065526 	0.278456 	0.901125 	0.977690
3.069988 	0.276344 	0.883192 	0.076117
3.076415 	0.272084 	0.873377 	0.141152
3.150090 	0.213601 	0.891523 	0.679968
3.153487 	0.212010 	0.879523 	0.022675
